,Survival,Pclass,Sex,Age,Count,AgeGroup
9,survived,middle,female,14.0,1,teenagers
14,deceased,lower,female,14.0,1,teenagers
22,survived,lower,female,15.0,1,teenagers
38,deceased,lower,female,18.0,1,teenagers
39,survived,lower,female,14.0,1,teenagers
49,deceased,lower,female,18.0,1,teenagers
59,deceased,lower,male,11.0,1,teenagers
68,survived,lower,female,17.0,1,teenagers
71,deceased,lower,female,16.0,1,teenagers
84,survived,middle,female,17.0,1,teenagers
86,deceased,lower,male,16.0,1,teenagers
111,deceased,lower,female,14.5,1,teenagers
114,deceased,lower,female,17.0,1,teenagers
125,survived,lower,male,12.0,1,teenagers
138,deceased,lower,male,16.0,1,teenagers
144,deceased,middle,male,18.0,1,teenagers
156,survived,lower,female,16.0,1,teenagers
163,deceased,lower,male,17.0,1,teenagers
175,deceased,lower,male,18.0,1,teenagers
204,survived,lower,male,18.0,1,teenagers
208,survived,lower,female,16.0,1,teenagers
220,survived,lower,male,16.0,1,teenagers
228,deceased,middle,male,18.0,1,teenagers
266,deceased,lower,male,16.0,1,teenagers
282,deceased,lower,male,16.0,1,teenagers
307,survived,upper,female,17.0,1,teenagers
311,survived,upper,female,18.0,1,teenagers
329,survived,upper,female,16.0,1,teenagers
333,deceased,lower,male,16.0,1,teenagers
352,deceased,lower,male,15.0,1,teenagers
371,deceased,lower,male,18.0,1,teenagers
385,deceased,middle,male,18.0,1,teenagers
389,survived,middle,female,17.0,1,teenagers
417,survived,middle,female,18.0,1,teenagers
419,deceased,lower,female,10.0,1,teenagers
424,deceased,lower,male,18.0,1,teenagers
433,deceased,lower,male,17.0,1,teenagers
435,survived,upper,female,14.0,1,teenagers
446,survived,middle,female,13.0,1,teenagers
500,deceased,lower,male,17.0,1,teenagers
504,survived,upper,female,16.0,1,teenagers
505,deceased,upper,male,18.0,1,teenagers
532,deceased,lower,male,17.0,1,teenagers
542,deceased,lower,female,11.0,1,teenagers
550,survived,upper,male,17.0,1,teenagers
574,deceased,lower,male,16.0,1,teenagers
585,survived,upper,female,18.0,1,teenagers
651,survived,middle,female,18.0,1,teenagers
654,deceased,lower,female,18.0,1,teenagers
675,deceased,lower,male,18.0,1,teenagers
677,survived,lower,female,18.0,1,teenagers
683,deceased,lower,male,14.0,1,teenagers
686,deceased,lower,male,14.0,1,teenagers
688,deceased,lower,male,18.0,1,teenagers
689,survived,upper,female,15.0,1,teenagers
700,survived,upper,female,18.0,1,teenagers
702,deceased,lower,female,18.0,1,teenagers
721,deceased,lower,male,17.0,1,teenagers
731,deceased,lower,male,11.0,1,teenagers
746,deceased,lower,male,16.0,1,teenagers
757,deceased,middle,male,18.0,1,teenagers
764,deceased,lower,male,16.0,1,teenagers
775,deceased,lower,male,18.0,1,teenagers
780,survived,lower,female,13.0,1,teenagers
781,survived,upper,female,17.0,1,teenagers
786,survived,lower,female,18.0,1,teenagers
791,deceased,middle,male,16.0,1,teenagers
802,survived,upper,male,11.0,1,teenagers
807,deceased,lower,female,18.0,1,teenagers
819,deceased,lower,male,10.0,1,teenagers
830,survived,lower,female,15.0,1,teenagers
834,deceased,lower,male,18.0,1,teenagers
841,deceased,middle,male,16.0,1,teenagers
844,deceased,lower,male,17.0,1,teenagers
853,survived,upper,female,16.0,1,teenagers
855,survived,lower,female,18.0,1,teenagers
875,survived,lower,female,15.0,1,teenagers
